Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mural_Cells	3.84001301835e-07	2.64372184478e-07	0.0731809447045
Microglia	3.76038825268e-07	2.81386843464e-07	0.0907130867401
Endothelial_Cells	3.4834777046e-07	2.65876774143e-07	0.0950666236293
D1_MSN_NUDAP	5.37413351661e-07	4.64291046289e-07	0.123535623842
Oligodendrocyte_Precursors	3.13016424456e-07	3.26943599426e-07	0.169182219008
D1_MSN_Olfactory_Tubercle	3.99369428132e-07	4.86898714266e-07	0.206042211255
Oligodendrocytes	2.09373903141e-07	3.16998237242e-07	0.254469982525
Astrocytes	6.06568214812e-08	2.71599446994e-07	0.411638599425
D1_MSNs_common	-3.23813367191e-08	3.24561387751e-07	0.539736350089
Interneurons	-1.99126531493e-07	3.80220785475e-07	0.699760880231
D2_MSNs	-3.84154448886e-07	2.89205107732e-07	0.907962376586
Ependymal_Cells	-3.22747368094e-07	2.23191446347e-07	0.925919276089
