Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D2_MSNs	8.73459764179e-09	6.24501045197e-09	0.0809586515436
Oligodendrocytes	7.42453167017e-09	5.50286521171e-09	0.0886344438796
Mural_Cells	5.59271991201e-09	4.32853834461e-09	0.0981686370843
Interneurons	1.11555500246e-08	8.910707714e-09	0.105298346177
Astrocytes	4.61620731005e-09	4.61948915797e-09	0.158827219526
D1_MSN_NUDAP	7.22755432067e-09	7.43428574555e-09	0.165477479951
Endothelial_Cells	4.56966431015e-09	4.99897865784e-09	0.180327005519
Microglia	3.30231714581e-09	4.80986928057e-09	0.246176529055
D1_MSNs_common	2.43077265016e-09	5.19191953639e-09	0.319826575823
Oligodendrocyte_Precursors	1.36710403523e-09	6.35697437588e-09	0.414861917754
D1_MSN_Olfactory_Tubercle	-3.73944338235e-09	9.05754513469e-09	0.660143193036
Ependymal_Cells	-3.55599277618e-09	4.48963098691e-09	0.785832975926
