Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Ependymal_Cells	2.95006828189e-07	1.73146312206e-07	0.0442091526594
Endothelial_Cells	1.92937540933e-07	1.75547791546e-07	0.13587096631
D1_MSNs_common	1.08244568804e-07	1.90779481621e-07	0.285227827874
Microglia	8.06368625529e-08	1.70856678655e-07	0.318479039249
Astrocytes	4.212921392e-08	1.69965003026e-07	0.402117522009
Mural_Cells	2.93865344032e-08	1.5898241676e-07	0.426676712688
D2_MSNs	2.86728302437e-08	1.79126409738e-07	0.436412821715
Interneurons	-2.36138937611e-08	2.44652074971e-07	0.538446327328
D1_MSN_Olfactory_Tubercle	-8.18836187552e-08	3.15932991754e-07	0.60225194853
Oligodendrocyte_Precursors	-6.42960608297e-08	2.04704688796e-07	0.623274335159
D1_MSN_NUDAP	-2.01139906951e-07	2.6894279124e-07	0.772737062253
Oligodendrocytes	-1.85783381164e-07	1.75040712976e-07	0.855739651998
