Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mural_Cells	3.25135936065e-08	9.81303753162e-09	0.000461000650809
Endothelial_Cells	3.43111893026e-08	1.07060228064e-08	0.000675666149711
Microglia	2.81643050745e-08	1.08626050914e-08	0.00476023362087
Interneurons	4.31475717448e-08	1.96781392658e-08	0.0141657538371
D1_MSN_NUDAP	3.45109790343e-08	1.70591893478e-08	0.0215358516003
D1_MSNs_common	1.66226213345e-08	1.12232715604e-08	0.0692919364139
D2_MSNs	1.34045667334e-08	1.17223525239e-08	0.126414525187
Astrocytes	1.01507449992e-08	9.55673577751e-09	0.144082417613
Oligodendrocytes	1.15340401443e-08	1.10309563726e-08	0.147871363881
D1_MSN_Olfactory_Tubercle	1.34285639539e-08	2.06831950005e-08	0.258088405359
Oligodendrocyte_Precursors	2.15234029986e-09	1.22018629097e-08	0.429992051501
Ependymal_Cells	-2.39492216202e-09	9.31368439708e-09	0.601464706254
