Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Astrocytes	1.45459015022e-07	4.40620384658e-08	0.000481306103923
Endothelial_Cells	1.72358825401e-07	5.30547591201e-08	0.000579674934588
D1_MSNs_common	1.75006979874e-07	5.45865632665e-08	0.00067286463731
D2_MSNs	1.80523671142e-07	6.03746989793e-08	0.00139463604945
Interneurons	2.05781423422e-07	7.80592471432e-08	0.00419175602704
D1_MSN_Olfactory_Tubercle	2.10013878143e-07	8.19718597232e-08	0.0052032052169
Ependymal_Cells	9.84066582509e-08	4.49304993008e-08	0.0142549654938
Mural_Cells	8.98659197256e-08	4.2657929254e-08	0.0175733616359
Microglia	8.14756025352e-08	4.60923402931e-08	0.0385588508638
Oligodendrocyte_Precursors	1.02431258764e-07	5.85201244639e-08	0.0400281455512
Oligodendrocytes	5.87482178352e-08	4.61878675587e-08	0.101697136161
D1_MSN_NUDAP	6.86493200865e-08	5.85228785949e-08	0.12039110725
