Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_Olfactory_Tubercle	2.26833201711e-08	1.69163546943e-08	0.0899747319841
Endothelial_Cells	9.53866175968e-09	7.54236367178e-09	0.102993381269
D1_MSNs_common	7.48307360829e-09	8.98060283132e-09	0.202352304554
Astrocytes	3.02925712612e-09	7.40470202741e-09	0.341233458899
Ependymal_Cells	2.4666036959e-09	7.40791573646e-09	0.369578974232
Interneurons	1.77522234768e-09	1.0462908651e-08	0.432635561987
D1_MSN_NUDAP	1.77041906633e-09	1.05243700033e-08	0.433204747
Mural_Cells	1.60518841515e-10	7.41977181898e-09	0.491369982883
Microglia	-1.57049385149e-09	7.61124056228e-09	0.581736843576
D2_MSNs	-1.8793953841e-09	8.39697408511e-09	0.588550605006
Oligodendrocyte_Precursors	-1.92495067068e-09	8.45990968915e-09	0.589997275895
Oligodendrocytes	-7.01858739722e-09	6.68337656828e-09	0.853176781453
