Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Interneurons	1.06268200811e-07	6.99810354479e-08	0.0644406029759
Ependymal_Cells	1.39401140159e-08	4.45611804525e-08	0.377204570445
D1_MSN_Olfactory_Tubercle	-7.88777684336e-09	7.41585868158e-08	0.542353077694
Endothelial_Cells	-8.59935951736e-09	3.81423890204e-08	0.589187001065
Microglia	-1.11227772704e-08	3.66705394315e-08	0.61917563856
Mural_Cells	-2.3278389976e-08	3.67352204736e-08	0.736855297513
Oligodendrocyte_Precursors	-3.40422059689e-08	4.09857756803e-08	0.79689618886
Astrocytes	-3.86453028785e-08	3.38957217531e-08	0.872882536514
D2_MSNs	-6.21008714385e-08	3.88879134701e-08	0.944858185525
D1_MSN_NUDAP	-8.89901016126e-08	4.39309879649e-08	0.978601180468
D1_MSNs_common	-8.14785227706e-08	3.67082172099e-08	0.98677792581
Oligodendrocytes	-8.28015969292e-08	3.56775903989e-08	0.989851970585
