Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_Olfactory_Tubercle	4.84953532167e-08	6.26029928676e-08	0.219273512419
Oligodendrocytes	1.28002183922e-08	2.73027423538e-08	0.319597230729
Microglia	1.33071599633e-08	2.96103276343e-08	0.326568171079
D2_MSNs	1.40569109919e-08	3.33275293382e-08	0.336592521505
D1_MSNs_common	1.04696150513e-08	3.07985027376e-08	0.36695119838
Endothelial_Cells	5.24978437959e-09	2.55872728249e-08	0.418718987843
Astrocytes	3.7982096737e-09	2.63297874399e-08	0.44264946291
Interneurons	7.38482944515e-10	4.02207100887e-08	0.492675526689
Ependymal_Cells	-2.55639913514e-10	2.60033655461e-08	0.503921951068
Mural_Cells	-1.81528738962e-08	2.65822903605e-08	0.752662936286
Oligodendrocyte_Precursors	-3.56395350654e-08	2.94058162709e-08	0.887241764253
D1_MSN_NUDAP	-5.68835332772e-08	3.06376913792e-08	0.968319665012
