Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Oligodendrocytes	5.08716668328e-08	2.5127851105e-08	0.0214586864068
D2_MSNs	7.19000084241e-08	3.79498781703e-08	0.0290724117673
D1_MSNs_common	5.21820648944e-08	3.20014082176e-08	0.0514854986454
Microglia	2.93795170524e-08	2.7683515973e-08	0.14428498578
D1_MSN_Olfactory_Tubercle	4.40172677512e-08	6.43172249309e-08	0.246868379891
Endothelial_Cells	1.36599729405e-08	2.39910929243e-08	0.284550211557
Astrocytes	9.21942067413e-09	2.1395342589e-08	0.333267694503
Ependymal_Cells	3.54892067899e-09	1.93229372032e-08	0.427138673503
D1_MSN_NUDAP	-8.52154058073e-11	5.99267955225e-08	0.50056729242
Oligodendrocyte_Precursors	-3.48363744671e-09	2.44392786488e-08	0.556674269403
Mural_Cells	-1.18051447081e-08	2.11216346643e-08	0.711889266006
Interneurons	-2.73235806839e-08	3.02274796172e-08	0.816984222564
