Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D2_MSNs	9.28273961698e-09	6.11281360795e-09	0.0644352959376
Mural_Cells	6.20626504862e-09	4.12484276189e-09	0.066212642769
Oligodendrocytes	7.98057648226e-09	5.36298419964e-09	0.06836423595
Interneurons	1.16791225006e-08	9.03366708373e-09	0.0980325054093
Astrocytes	5.27440100883e-09	4.66994973802e-09	0.129357353416
Endothelial_Cells	5.21751760118e-09	4.80195095759e-09	0.138619809612
D1_MSN_NUDAP	7.80193548556e-09	7.45394100499e-09	0.147622217874
Microglia	4.00067297765e-09	4.62534113135e-09	0.193534055805
D1_MSNs_common	3.11984004346e-09	5.15316166576e-09	0.272449150777
Oligodendrocyte_Precursors	2.0286424091e-09	6.20568414203e-09	0.371871500744
D1_MSN_Olfactory_Tubercle	-3.11896874217e-09	8.9806778249e-09	0.635816160287
Ependymal_Cells	-2.45205195554e-09	4.43706340156e-09	0.70974141788
