Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSNs_common	3.21538850956e-08	6.75999521836e-09	9.84914395678e-07
D2_MSNs	2.69187679081e-08	5.95905193126e-09	3.13179931174e-06
Astrocytes	1.74102338345e-08	4.7047706575e-09	0.000107566812428
Mural_Cells	1.8899407335e-08	5.1436464771e-09	0.000119241466086
Endothelial_Cells	1.99339247056e-08	5.76217758617e-09	0.000270646952053
D1_MSN_NUDAP	2.30597462474e-08	7.31829723662e-09	0.000813641754531
Interneurons	2.55479933983e-08	9.00227984691e-09	0.00227023581504
Ependymal_Cells	1.18095500787e-08	4.62411048576e-09	0.00532607877445
D1_MSN_Olfactory_Tubercle	2.80914639611e-08	1.10633581448e-08	0.005556197256
Oligodendrocytes	1.28387226177e-08	5.44000404299e-09	0.00913605007894
Oligodendrocyte_Precursors	8.79912215537e-09	5.84197954956e-09	0.0660094010755
Microglia	1.38129901814e-09	5.01704717095e-09	0.391534772062
