Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Oligodendrocytes	5.71778495488e-08	5.37512566694e-08	0.143721193281
D1_MSN_NUDAP	3.92185311438e-08	6.87045103637e-08	0.284057760726
Astrocytes	1.75021887244e-08	4.50558226079e-08	0.348839435265
Mural_Cells	6.43105730962e-09	4.86350752515e-08	0.447400850544
Interneurons	7.04856477152e-09	7.6424561082e-08	0.463258028368
Ependymal_Cells	-5.80362163575e-09	4.21129832598e-08	0.554805004307
Endothelial_Cells	-1.11360476193e-08	4.69413581825e-08	0.593762051045
D2_MSNs	-4.64587499372e-08	5.03188656931e-08	0.822071145752
D1_MSNs_common	-6.15055946174e-08	5.48075309788e-08	0.869113555911
D1_MSN_Olfactory_Tubercle	-1.07586158478e-07	7.95830060256e-08	0.911792110061
Oligodendrocyte_Precursors	-8.81185576434e-08	6.25455433882e-08	0.920563236487
Microglia	-7.72405118899e-08	4.72633448894e-08	0.948897683226
