Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D2_MSNs	3.67651920294e-07	2.4876539612e-07	0.0697164438263
Mural_Cells	2.50119506946e-07	1.75381722247e-07	0.0769134592005
Ependymal_Cells	2.41037111341e-07	1.7216141181e-07	0.0807469758155
D1_MSNs_common	2.87694940175e-07	2.37422760818e-07	0.112805732126
D1_MSN_NUDAP	2.78709554847e-07	3.05427978076e-07	0.180747164477
Astrocytes	1.00617567993e-07	1.79158095204e-07	0.287189760431
Oligodendrocyte_Precursors	9.93210205349e-08	1.94562343146e-07	0.304856107318
Microglia	7.47123358664e-08	1.87204180301e-07	0.344911438774
Endothelial_Cells	5.79773869491e-08	1.96112168749e-07	0.383754876587
D1_MSN_Olfactory_Tubercle	-1.81330935942e-07	2.91812180574e-07	0.732830464362
Interneurons	-2.68254127293e-07	3.10888647765e-07	0.805893439354
Oligodendrocytes	-1.95075677827e-07	1.93753757121e-07	0.842990004211
