Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mural_Cells	3.46598218299e-08	9.71306004636e-09	0.000179602403342
Endothelial_Cells	3.65666282064e-08	1.05124006685e-08	0.00025218201157
Microglia	3.04490606691e-08	1.0748888925e-08	0.00230737541728
Interneurons	4.5574397568e-08	1.97327397617e-08	0.0104556296685
D1_MSN_NUDAP	3.70447883662e-08	1.68294866712e-08	0.013861517969
D1_MSNs_common	1.94449844506e-08	1.13668366874e-08	0.0435703911838
Astrocytes	1.34696228229e-08	9.51491270106e-09	0.0784415165561
D2_MSNs	1.62584473448e-08	1.18279625478e-08	0.0846312844696
Oligodendrocytes	1.44558560684e-08	1.07783869543e-08	0.0899295176078
D1_MSN_Olfactory_Tubercle	1.60781858869e-08	2.07104167952e-08	0.21877611273
Oligodendrocyte_Precursors	5.04809727997e-09	1.18549647174e-08	0.335119008112
Ependymal_Cells	1.45910423242e-09	8.9062346375e-09	0.43493267219
