Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Astrocytes	1.74888011776e-07	4.3194646058e-08	2.57365650629e-05
Endothelial_Cells	1.99202201014e-07	5.16504302337e-08	5.74549968443e-05
D1_MSNs_common	2.01687469843e-07	5.41496222305e-08	9.77997851019e-05
D2_MSNs	2.06742859226e-07	5.90060969899e-08	0.00022937430518
Ependymal_Cells	1.29373278517e-07	4.29910358739e-08	0.00130921656575
Interneurons	2.29705253669e-07	7.69874089034e-08	0.00142405485619
Mural_Cells	1.20990026241e-07	4.19138990104e-08	0.00194694330085
D1_MSN_Olfactory_Tubercle	2.3475262712e-07	8.19310855434e-08	0.0020834340855
Microglia	1.11066776201e-07	4.47784463824e-08	0.00656244492553
Oligodendrocyte_Precursors	1.29251417698e-07	5.74698367183e-08	0.0122552766732
Oligodendrocytes	8.86260960577e-08	4.46039304768e-08	0.0234635759086
D1_MSN_NUDAP	9.49718042995e-08	5.74650506595e-08	0.0491971806905
