Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Astrocytes	2.07887859844e-08	5.43461483956e-09	6.53184760329e-05
D2_MSNs	2.52900799584e-08	7.39828804388e-09	0.000314987949364
D1_MSNs_common	1.47802072917e-08	6.33737219263e-09	0.00984430674364
D1_MSN_Olfactory_Tubercle	1.80238940776e-08	1.31258608018e-08	0.0848514590854
Oligodendrocyte_Precursors	1.17005327009e-08	8.83752753162e-09	0.0927581694923
D1_MSN_NUDAP	9.74922619399e-09	9.79496243215e-09	0.159787740982
Oligodendrocytes	4.81356290786e-09	5.88155071161e-09	0.206559470656
Endothelial_Cells	3.88969266236e-09	5.56598644769e-09	0.242328333014
Ependymal_Cells	2.85177479917e-09	5.36613974901e-09	0.297557374677
Mural_Cells	-5.31918545851e-10	6.0943653639e-09	0.534775676876
Microglia	-6.11418340392e-10	5.9809511558e-09	0.54071199341
Interneurons	-7.89293610694e-09	8.39119883918e-09	0.826550388808
