Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Endothelial_Cells	2.38686400827e-08	6.25340420639e-09	6.75685105564e-05
D1_MSNs_common	1.95486072288e-08	6.01236676377e-09	0.000574191523135
Mural_Cells	1.53365067771e-08	5.11276709413e-09	0.00135145436381
D1_MSN_Olfactory_Tubercle	2.87870098555e-08	1.05737896273e-08	0.00323962444239
Astrocytes	1.43398510102e-08	5.94530826137e-09	0.00793349171035
Microglia	1.29996334325e-08	6.52991070664e-09	0.0232523896629
Oligodendrocytes	1.16135421637e-08	5.94918451826e-09	0.025461779291
D1_MSN_NUDAP	1.64739721928e-08	8.5131047359e-09	0.0264871160901
D2_MSNs	1.08341092262e-08	6.10455213565e-09	0.0379688392165
Ependymal_Cells	8.28494308962e-09	5.70170477233e-09	0.0731029647247
Interneurons	1.59732574051e-08	1.12705062146e-08	0.0782032063648
Oligodendrocyte_Precursors	9.27138425685e-09	6.7580520296e-09	0.0850469931776
