Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Oligodendrocytes	4.25191978886e-09	3.95669031843e-09	0.141273508805
D1_MSN_NUDAP	4.86174386273e-09	5.30207436447e-09	0.179584085955
Interneurons	3.95944034099e-09	6.64463871164e-09	0.275626037217
D2_MSNs	5.65040392177e-10	4.65902901625e-09	0.451735195371
D1_MSNs_common	3.5333326652e-10	4.65121942203e-09	0.469723182491
Astrocytes	1.0791769034e-10	3.75661558422e-09	0.488541013156
Oligodendrocyte_Precursors	8.84077959787e-11	5.26242625227e-09	0.493298158099
Endothelial_Cells	2.98416785538e-11	4.03953646287e-09	0.497052879923
Mural_Cells	-1.48634230905e-10	3.84491461497e-09	0.515418213297
D1_MSN_Olfactory_Tubercle	-2.82286117555e-10	5.18681217786e-09	0.521701248184
Ependymal_Cells	-4.24311716524e-10	3.68768182307e-09	0.545801974894
Microglia	-1.81068849647e-09	4.05488782029e-09	0.672398069366
