Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Ependymal_Cells	2.53801575616e-08	6.44194439364e-09	4.07699013959e-05
Endothelial_Cells	2.47536890694e-08	6.90360171876e-09	0.000168139473794
Mural_Cells	2.11402291971e-08	6.89055849098e-09	0.00107748531574
Microglia	2.52923010286e-08	8.90652744482e-09	0.00225745326503
Astrocytes	1.66646656115e-08	6.72519460663e-09	0.00660706666926
D1_MSN_NUDAP	2.22632795383e-08	1.14262549035e-08	0.0256816530333
Oligodendrocytes	1.22448565234e-08	7.1672379498e-09	0.0437765824601
D1_MSN_Olfactory_Tubercle	1.34509561275e-08	8.43530258736e-09	0.055400556264
D1_MSNs_common	9.20154643528e-09	7.42775030366e-09	0.107708556178
D2_MSNs	6.6893693239e-09	7.22660991778e-09	0.177311869143
Interneurons	7.39126806446e-09	1.50707521381e-08	0.311912030798
Oligodendrocyte_Precursors	1.53232488584e-09	7.77874924719e-09	0.421918231356
