Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSNs_common	6.80684696195e-09	3.5436671953e-09	0.027375420202
Astrocytes	4.11378182793e-09	2.79636493091e-09	0.070629650214
D1_MSN_Olfactory_Tubercle	5.90977096969e-09	5.31822080105e-09	0.133234499796
Oligodendrocytes	3.40307526613e-09	3.11467337531e-09	0.137285920489
D1_MSN_NUDAP	3.94241479609e-09	4.73131941043e-09	0.202349318264
Mural_Cells	2.70437549959e-09	3.3789200039e-09	0.211749146004
Interneurons	2.743054526e-09	3.70833163493e-09	0.229740891843
Microglia	2.54158432367e-09	3.56358438567e-09	0.23785788322
Endothelial_Cells	2.26191339796e-09	3.30960647882e-09	0.247164812675
Ependymal_Cells	1.77952666877e-09	3.40822268173e-09	0.300790792453
D2_MSNs	1.00588243599e-09	3.42336190501e-09	0.384444350495
Oligodendrocyte_Precursors	-2.94268148635e-10	4.15881038757e-09	0.528204728878
