Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Endothelial_Cells	6.28882971759e-08	3.29243014675e-08	0.0280609731141
Astrocytes	3.9149423666e-08	2.71837255107e-08	0.0749084176535
D1_MSN_NUDAP	5.55375805161e-08	3.91654083189e-08	0.0780915377628
Microglia	4.85326195818e-08	3.48304230274e-08	0.0817498314284
Ependymal_Cells	2.92921841138e-08	2.71529245502e-08	0.140341656911
D1_MSNs_common	3.42553090375e-08	3.77640248685e-08	0.182180024917
Oligodendrocyte_Precursors	2.75904423557e-08	4.08882319437e-08	0.249908697518
D2_MSNs	2.42666883616e-08	3.68976674985e-08	0.255373365332
Mural_Cells	1.48299235171e-08	3.21811600143e-08	0.322461630995
Interneurons	1.82910244689e-08	4.76410930758e-08	0.350513768071
D1_MSN_Olfactory_Tubercle	5.64002156824e-09	4.53184225431e-08	0.450478236528
Oligodendrocytes	-1.1204950955e-08	3.42658930201e-08	0.628166100848
