Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSNs_common	3.59175179142e-08	8.90002580643e-09	2.72239911088e-05
Astrocytes	3.09985257782e-08	7.82013021622e-09	3.68614181984e-05
D2_MSNs	3.55824207609e-08	9.30432499957e-09	6.55752033529e-05
Endothelial_Cells	3.27694569352e-08	8.90207223796e-09	0.000116112961237
Ependymal_Cells	2.88179732991e-08	8.33059458119e-09	0.000270797000567
Mural_Cells	2.91025724493e-08	8.85599016458e-09	0.000507740823452
Oligodendrocytes	2.46227274738e-08	9.11815792258e-09	0.00346274623698
Microglia	2.35275005091e-08	8.83709445111e-09	0.0038797763034
D1_MSN_NUDAP	2.77032036642e-08	1.1515349526e-08	0.00806936184396
Oligodendrocyte_Precursors	2.07448431894e-08	8.90020056675e-09	0.00988119625432
D1_MSN_Olfactory_Tubercle	2.89887669496e-08	1.38244968928e-08	0.0180006397326
Interneurons	2.23444730494e-08	1.20646798921e-08	0.0320088298471
