Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Endothelial_Cells	5.92224274685e-09	1.53810162618e-09	5.89725161755e-05
Astrocytes	5.30805744605e-09	1.43427368029e-09	0.000107431651283
Mural_Cells	5.64503359948e-09	1.52707389632e-09	0.000109238393401
D2_MSNs	6.72647341404e-09	1.9023886624e-09	0.000203268109164
D1_MSNs_common	6.00824988191e-09	1.85339190279e-09	0.000593972172872
Ependymal_Cells	4.55883769898e-09	1.48577042812e-09	0.00107628480299
Oligodendrocytes	4.85639814259e-09	1.59160915171e-09	0.00113945198292
D1_MSN_Olfactory_Tubercle	9.48395512978e-09	3.11234728286e-09	0.00115490688039
Microglia	3.76843004442e-09	1.83995446289e-09	0.0202745869339
Oligodendrocyte_Precursors	3.18295874982e-09	1.55831935776e-09	0.0205480718747
D1_MSN_NUDAP	3.93005329184e-09	2.03120384822e-09	0.0265050015389
Interneurons	7.09621363353e-10	1.90398110801e-09	0.354684381783
