Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Oligodendrocytes	4.08812214533e-09	3.78208696555e-09	0.139867015059
D1_MSN_NUDAP	3.74629269398e-09	5.03431405035e-09	0.228392392332
Interneurons	3.64175020785e-09	6.22417199425e-09	0.279240932188
D2_MSNs	7.62084605338e-10	4.45445798025e-09	0.432079024527
D1_MSNs_common	5.12576327344e-10	4.38445561742e-09	0.453466624767
D1_MSN_Olfactory_Tubercle	3.16196208722e-10	5.20049715371e-09	0.475758787133
Astrocytes	1.72358187501e-10	3.58326117825e-09	0.480817903362
Endothelial_Cells	1.23910375001e-10	3.83668406024e-09	0.487117913635
Oligodendrocyte_Precursors	-5.16780817591e-10	4.92354084033e-09	0.541796706797
Ependymal_Cells	-3.82329836257e-10	3.56579568013e-09	0.542693356457
Mural_Cells	-4.99552609356e-10	3.71623030024e-09	0.553466567647
Microglia	-1.36865680299e-09	3.860782196e-09	0.638518821261
