Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_NUDAP	8.64976282463e-08	5.40931993159e-08	0.0549049563228
Oligodendrocytes	4.27387676606e-08	4.20764349338e-08	0.154876326348
Microglia	4.01777950627e-08	4.24396848466e-08	0.171894961974
Endothelial_Cells	3.22710578669e-08	4.06903161693e-08	0.213862873167
Interneurons	4.14024945392e-08	5.32437006381e-08	0.218401362141
Astrocytes	2.53743011209e-08	3.85000286131e-08	0.254924681859
Mural_Cells	2.08691559951e-08	3.81428513243e-08	0.292144191476
Oligodendrocyte_Precursors	2.15711460941e-08	4.40619788886e-08	0.31222132879
D1_MSN_Olfactory_Tubercle	-7.7989636376e-10	6.67594361091e-08	0.504660413197
Ependymal_Cells	-8.04913095794e-09	3.65606094511e-08	0.587126163604
D2_MSNs	-1.24777781422e-08	4.43389595368e-08	0.610805065686
D1_MSNs_common	-3.19831880595e-08	4.4503783148e-08	0.763825469892
