Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSNs_common	3.68219559554e-08	8.47790371694e-09	7.01837750193e-06
Astrocytes	3.20733586708e-08	7.51600817129e-09	9.89089908351e-06
D2_MSNs	3.64835895852e-08	8.9166695877e-09	2.1418861761e-05
Endothelial_Cells	3.39086778573e-08	8.42003232148e-09	2.82292971364e-05
Ependymal_Cells	2.8903723246e-08	7.818822901e-09	0.000109216663634
Mural_Cells	2.90553269905e-08	8.40721905475e-09	0.000274130329375
Microglia	2.37181733992e-08	8.31535444687e-09	0.00216996940572
Oligodendrocytes	2.41986138708e-08	8.51985901832e-09	0.00225383963313
Oligodendrocyte_Precursors	2.14197812053e-08	8.5738930503e-09	0.00624029842904
D1_MSN_NUDAP	2.70900992819e-08	1.08926342026e-08	0.0064410737803
D1_MSN_Olfactory_Tubercle	3.01663104015e-08	1.3231251077e-08	0.0113059557916
Interneurons	2.42426327699e-08	1.19259209733e-08	0.0210379742548
