Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mural_Cells	4.8522646521e-09	1.17870236422e-09	1.92238185101e-05
Endothelial_Cells	4.0074104577e-09	1.26849908982e-09	0.000791082606146
Ependymal_Cells	3.30491942613e-09	1.09010149734e-09	0.00121568687059
Microglia	3.87767713247e-09	1.31812477619e-09	0.00163148239436
D1_MSN_NUDAP	3.7289352869e-09	1.59940573092e-09	0.00986480872493
Astrocytes	2.22588649367e-09	1.09356851637e-09	0.0209036136907
D1_MSNs_common	2.40887287138e-09	1.27999368586e-09	0.0299219988692
Oligodendrocytes	2.20507843928e-09	1.20441863058e-09	0.0335634143807
D2_MSNs	1.49354356008e-09	1.23442091572e-09	0.113155883194
Oligodendrocyte_Precursors	1.76948197994e-09	1.48006252965e-09	0.115937000592
Interneurons	1.78362916737e-09	1.6267781914e-09	0.136447908005
D1_MSN_Olfactory_Tubercle	2.07997812526e-09	1.988154301e-09	0.147737706924
