Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Interneurons	1.44913752387e-07	7.07267529365e-08	0.0202347660491
Ependymal_Cells	5.8800710631e-08	3.97116554553e-08	0.0693444002042
Endothelial_Cells	3.90762925718e-08	3.57663712563e-08	0.137297287198
Microglia	3.23674374472e-08	3.45917600815e-08	0.174714374729
Mural_Cells	2.78298574809e-08	3.38424752588e-08	0.205443084077
Astrocytes	1.6318659648e-08	3.14624892745e-08	0.301995328201
D1_MSN_Olfactory_Tubercle	3.42576786693e-08	7.4381233971e-08	0.322553985712
Oligodendrocyte_Precursors	9.98088311913e-09	4.15174928679e-08	0.4050093625
D2_MSNs	-1.25193678641e-08	3.63627749782e-08	0.634686188219
D1_MSNs_common	-2.93103923774e-08	3.37785148051e-08	0.807226989404
Oligodendrocytes	-3.09036634172e-08	3.37586755707e-08	0.820016714085
D1_MSN_NUDAP	-4.23084848489e-08	4.14021403232e-08	0.846583812421
