Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_Olfactory_Tubercle	5.12995964758e-08	6.1940204181e-08	0.203775333822
Oligodendrocytes	1.60030496282e-08	2.44899617239e-08	0.256731999659
Microglia	1.61670859426e-08	2.86919674205e-08	0.286557167838
D2_MSNs	1.73254611633e-08	3.09065160544e-08	0.287543197637
D1_MSNs_common	1.39326861398e-08	2.91171339069e-08	0.316145506205
Endothelial_Cells	8.98891256778e-09	2.44746307515e-08	0.356707063456
Astrocytes	7.70764663252e-09	2.4174316692e-08	0.374925373078
Ependymal_Cells	4.12701766399e-09	2.43630786085e-08	0.432742429829
Interneurons	4.42273444914e-09	4.03103463234e-08	0.456316867746
Mural_Cells	-1.2036138051e-08	2.41169839452e-08	0.691136057958
Oligodendrocyte_Precursors	-3.0024209053e-08	2.86170680948e-08	0.852950377653
D1_MSN_NUDAP	-5.12104920315e-08	3.03993312503e-08	0.953966411286
