Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Oligodendrocytes	4.3847868909e-08	2.31556336033e-08	0.0291380259833
D2_MSNs	6.53489557365e-08	3.76289650412e-08	0.0412230441446
D1_MSNs_common	4.69015088848e-08	3.02249253087e-08	0.0603611020229
Microglia	2.43541585358e-08	2.56454538723e-08	0.171145524891
D1_MSN_Olfactory_Tubercle	4.23998931576e-08	6.20692788625e-08	0.247269950747
Endothelial_Cells	1.11286290304e-08	2.30635764158e-08	0.314718418184
Astrocytes	5.94405191671e-09	1.80793829843e-08	0.371162822296
Ependymal_Cells	1.40631074584e-09	1.62692188501e-08	0.465558338239
D1_MSN_NUDAP	-1.24162220091e-09	5.86165466029e-08	0.508449807812
Oligodendrocyte_Precursors	-4.34498616362e-09	2.27920125996e-08	0.575594746621
Mural_Cells	-1.15767412952e-08	1.95518850371e-08	0.723109388
Interneurons	-2.75246852818e-08	2.97392918724e-08	0.822655542914
