Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mural_Cells	4.36231483658e-07	2.44210129302e-07	0.0370257030859
Microglia	4.41428417646e-07	2.61174017543e-07	0.045497744213
Endothelial_Cells	4.11078520742e-07	2.59877547041e-07	0.0568457648398
D1_MSN_NUDAP	6.0647071072e-07	4.52887894369e-07	0.0902659944282
Oligodendrocyte_Precursors	3.88086580048e-07	3.16534908021e-07	0.11009055044
D1_MSN_Olfactory_Tubercle	4.74762315114e-07	4.7785420262e-07	0.160225956095
Oligodendrocytes	2.84821021711e-07	3.01523051714e-07	0.172429575782
Astrocytes	1.6305403153e-07	2.41862763506e-07	0.250105020784
D1_MSNs_common	5.69734900764e-08	3.12676286026e-07	0.427708029111
Interneurons	-1.10244195894e-07	3.73537302006e-07	0.61605489333
Ependymal_Cells	-1.43268982808e-07	2.01909460566e-07	0.761014719086
D2_MSNs	-2.69656111077e-07	2.7690056464e-07	0.834931346711
