Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSNs_common	5.41619949662e-08	2.24358642481e-08	0.00788747618484
D2_MSNs	4.16465582038e-08	2.19764935179e-08	0.0290428763809
Endothelial_Cells	2.36603911271e-08	2.05724094721e-08	0.125050712686
Mural_Cells	1.90059760353e-08	1.98486585587e-08	0.169146220436
Oligodendrocytes	1.67661393913e-08	2.09030816523e-08	0.211250634556
Oligodendrocyte_Precursors	1.97640999875e-08	2.66946096273e-08	0.229535351361
D1_MSN_NUDAP	3.02845035732e-08	4.37504490934e-08	0.24440269247
Astrocytes	1.15235872067e-08	1.83324483047e-08	0.264808870001
Interneurons	2.92767634721e-08	4.73160099632e-08	0.268040655988
Ependymal_Cells	-3.1113603725e-09	2.17297258632e-08	0.556927772543
D1_MSN_Olfactory_Tubercle	-3.01949917931e-08	4.22258324773e-08	0.762721244203
Microglia	-1.60704343675e-08	2.23382055357e-08	0.764057291787
