Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mural_Cells	7.74843541604e-09	4.06616037843e-09	0.0283516965406
Oligodendrocytes	9.51247504496e-09	5.34591509297e-09	0.0375878122589
D2_MSNs	1.08129596339e-08	6.38510374686e-09	0.0451833480507
Astrocytes	6.80178453177e-09	4.45602757948e-09	0.0634522334629
Interneurons	1.32548326242e-08	8.96704471572e-09	0.0696809000037
Endothelial_Cells	6.89784816048e-09	4.71382982428e-09	0.0716897243782
D1_MSN_NUDAP	9.5102268648e-09	7.29437154809e-09	0.0961549767931
Microglia	5.68949362907e-09	4.43642077263e-09	0.0998421874711
D1_MSNs_common	5.00499437061e-09	5.03133085692e-09	0.159925163944
Oligodendrocyte_Precursors	3.84849949167e-09	6.22705242172e-09	0.268278084212
Ependymal_Cells	2.60319887734e-11	4.44138753208e-09	0.497661721382
D1_MSN_Olfactory_Tubercle	-1.13787392038e-09	9.03669357732e-09	0.550101212328
