Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Oligodendrocytes	4.84931470353e-08	5.09382986581e-08	0.170549054897
D1_MSN_NUDAP	3.32189046239e-08	6.52566257208e-08	0.305358485106
Astrocytes	9.80600862563e-09	4.16928163824e-08	0.407028072696
Interneurons	2.2447167316e-09	7.37604992652e-08	0.487861060975
Mural_Cells	5.62974168739e-10	4.42122808945e-08	0.494920232004
Ependymal_Cells	-1.04988189649e-08	3.97530839118e-08	0.604148853992
Endothelial_Cells	-1.52588261707e-08	4.48645664831e-08	0.633112637914
D2_MSNs	-4.88996993467e-08	4.79772416983e-08	0.845952390517
D1_MSNs_common	-6.30430587918e-08	5.21441174985e-08	0.886671600771
D1_MSN_Olfactory_Tubercle	-1.10048212109e-07	7.75586741454e-08	0.922036307397
Oligodendrocyte_Precursors	-8.85718388667e-08	6.14810655636e-08	0.925156233552
Microglia	-7.55697475608e-08	4.42213360428e-08	0.95626506666
