Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D2_MSNs	3.02850081776e-07	2.43221497045e-07	0.106536167236
Mural_Cells	1.75703027353e-07	1.63358508169e-07	0.141060467026
Ependymal_Cells	1.58667300996e-07	1.56261000026e-07	0.154957777097
D1_MSNs_common	2.25997126637e-07	2.2693283247e-07	0.159655021998
D1_MSN_NUDAP	2.24780050425e-07	3.03390619101e-07	0.229379095642
Oligodendrocyte_Precursors	5.05627494927e-08	1.85891057166e-07	0.392810219749
Astrocytes	3.72423037227e-08	1.64866897179e-07	0.410642260492
Microglia	2.32116664672e-08	1.74525875618e-07	0.447097313304
Endothelial_Cells	5.65775091838e-09	1.80477773609e-07	0.487495710035
D1_MSN_Olfactory_Tubercle	-2.20658559235e-07	2.84323714001e-07	0.781149758785
Interneurons	-3.04654931331e-07	3.01853470514e-07	0.843580022447
Oligodendrocytes	-2.29099014732e-07	1.81015623801e-07	0.897177418396
