Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Endothelial_Cells	2.41123431429e-08	5.73675657868e-09	1.31623689077e-05
D1_MSNs_common	2.04186980223e-08	5.72469389472e-09	0.000180700407376
Mural_Cells	1.6026604133e-08	4.8692772941e-09	0.000498499452293
D1_MSN_Olfactory_Tubercle	3.01986196209e-08	1.04396793213e-08	0.00190986982382
Astrocytes	1.47762578719e-08	5.48391241167e-09	0.00352499430452
Oligodendrocytes	1.29004679925e-08	5.58893734829e-09	0.0104935957609
Microglia	1.4177190651e-08	6.19753866252e-09	0.0110818181253
D1_MSN_NUDAP	1.79701951999e-08	8.30594366203e-09	0.0152500487587
D2_MSNs	1.22691601074e-08	5.82480156225e-09	0.017586314912
Ependymal_Cells	9.69070943528e-09	5.11958562619e-09	0.0291875877598
Oligodendrocyte_Precursors	1.08554398193e-08	6.51342301379e-09	0.04779440277
Interneurons	1.75660973597e-08	1.09716122468e-08	0.0546829471275
