Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Microglia	-2.86486742987e-09	6.34599984076e-09	0.674165431517
Interneurons	-6.61997448309e-09	8.36048562804e-09	0.785766300025
Mural_Cells	-5.63782230752e-09	7.10385937377e-09	0.78629401112
Ependymal_Cells	-5.9888959847e-09	5.99344809813e-09	0.841160895894
Endothelial_Cells	-7.47965111633e-09	6.43466206338e-09	0.877463486265
Astrocytes	-9.31065242042e-09	6.59186104694e-09	0.921090763786
Oligodendrocyte_Precursors	-1.35118985626e-08	7.41281135363e-09	0.965831378159
D2_MSNs	-1.44147772979e-08	6.46197510426e-09	0.987149749706
D1_MSN_Olfactory_Tubercle	-1.97791758536e-08	8.72370029856e-09	0.98831380292
D1_MSNs_common	-1.49898932247e-08	6.22153646174e-09	0.992009638962
Oligodendrocytes	-1.73901129488e-08	6.43659457754e-09	0.996551289981
D1_MSN_NUDAP	-2.05441570046e-08	7.18914961558e-09	0.997866123896
