Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Oligodendrocytes	4.29380794605e-09	3.95813043786e-09	0.139003553241
D1_MSN_NUDAP	4.87041405379e-09	5.30002410983e-09	0.179062989681
Interneurons	3.97939596456e-09	6.63833069838e-09	0.274433979763
D2_MSNs	6.01297962255e-10	4.65914743289e-09	0.448656071788
D1_MSNs_common	3.94424778108e-10	4.65348242289e-09	0.466226472396
Astrocytes	1.77348133713e-10	3.76424865767e-09	0.481211256399
Oligodendrocyte_Precursors	1.34778624709e-10	5.25021134327e-09	0.489759843309
Endothelial_Cells	7.62655543636e-11	4.04912063731e-09	0.492486330236
Mural_Cells	-8.18356117465e-11	3.84659936678e-09	0.50848677489
D1_MSN_Olfactory_Tubercle	-2.9642623685e-10	5.18055611938e-09	0.52281462814
Ependymal_Cells	-3.18826589096e-10	3.67908925769e-09	0.534528758956
Microglia	-1.76731696411e-09	4.05596244648e-09	0.668484795009
