Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_NUDAP	8.64527788113e-08	5.65590856054e-08	0.0631893607025
Oligodendrocytes	4.2146459561e-08	4.30722800539e-08	0.163912205556
Interneurons	5.05502045588e-08	5.53211037019e-08	0.180421518463
Microglia	3.66948434568e-08	4.52511309076e-08	0.208707099134
Astrocytes	2.76863225256e-08	4.03560062979e-08	0.246340130139
Endothelial_Cells	2.76835978277e-08	4.23676250646e-08	0.256744719509
Oligodendrocyte_Precursors	1.83863242326e-08	4.63104993308e-08	0.345675322792
Mural_Cells	1.47976889178e-08	3.9350408179e-08	0.353440165422
Ependymal_Cells	9.88391753422e-10	3.83345926117e-08	0.489715096749
D1_MSN_Olfactory_Tubercle	-6.74990922838e-09	6.94009316889e-08	0.538739894387
D2_MSNs	-7.09503789849e-09	4.60800829846e-08	0.561184053788
D1_MSNs_common	-3.51292864663e-08	4.56882858289e-08	0.779020825198
