Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSNs_common	6.83095569154e-09	3.54587921376e-09	0.0270241630737
Astrocytes	4.077966386e-09	2.82018955632e-09	0.0740899789828
D1_MSN_Olfactory_Tubercle	5.9347810474e-09	5.3247343472e-09	0.132517692698
Oligodendrocytes	3.43067465934e-09	3.13063599696e-09	0.136574504351
D1_MSN_NUDAP	3.91002049498e-09	4.73730379391e-09	0.20458125623
Mural_Cells	2.70277549878e-09	3.41433339625e-09	0.214297897457
Interneurons	2.68955623814e-09	3.7052421088e-09	0.233956574828
Microglia	2.52485482121e-09	3.56837905011e-09	0.23960817859
Endothelial_Cells	2.28874556579e-09	3.31869191152e-09	0.245206239829
Ependymal_Cells	1.66266870567e-09	3.4280327853e-09	0.313830640166
D2_MSNs	1.04380408981e-09	3.43587293792e-09	0.380641697668
Oligodendrocyte_Precursors	-3.2371013186e-10	4.16258650984e-09	0.530993135832
