Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Microglia	3.12413056305e-09	8.9011472371e-10	0.000224216336611
Oligodendrocytes	2.49494162194e-09	8.66769182308e-10	0.00199824717266
Interneurons	4.11421379254e-09	1.55087522105e-09	0.00399096125698
Ependymal_Cells	2.3768896221e-09	9.21824246111e-10	0.0049620477401
Endothelial_Cells	2.23066725274e-09	9.12486158123e-10	0.00725056457152
D1_MSN_NUDAP	2.46028491275e-09	1.29666189925e-09	0.0288876527395
Mural_Cells	1.55374434877e-09	8.76168407763e-10	0.0380862051483
D1_MSNs_common	1.7087090615e-09	9.84177383327e-10	0.0412660087314
D2_MSNs	1.30648912238e-09	9.35179265174e-10	0.0811997615372
Astrocytes	8.80176107914e-10	8.86450854326e-10	0.160374106756
D1_MSN_Olfactory_Tubercle	-4.66655275548e-10	1.41016294789e-09	0.629648655015
Oligodendrocyte_Precursors	-3.85514261683e-10	9.6750016378e-10	0.654856010372
