Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_NUDAP	5.21434078687e-09	1.50987018315e-09	0.000276678359853
Microglia	5.28902217612e-09	1.54574842831e-09	0.000311202970964
Mural_Cells	4.33426828733e-09	1.41283265697e-09	0.00107825484753
Endothelial_Cells	4.38045739763e-09	1.46837080803e-09	0.00142621446484
D2_MSNs	3.02272278234e-09	1.10265053428e-09	0.00305960323738
Oligodendrocytes	3.08733916692e-09	1.13490315552e-09	0.00326059591283
Astrocytes	3.38734476101e-09	1.25935363266e-09	0.0035752924786
D1_MSNs_common	2.6426271297e-09	1.14464223272e-09	0.0104803207607
Oligodendrocyte_Precursors	2.83122849385e-09	1.26891107235e-09	0.0128330521282
Ependymal_Cells	2.9891828479e-09	1.35942668769e-09	0.0139440993641
Interneurons	5.61849187805e-09	3.14341081407e-09	0.0369374741338
D1_MSN_Olfactory_Tubercle	1.9156519309e-09	1.50750910621e-09	0.10191060267
