Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_NUDAP	6.46517586596e-09	8.33144475955e-09	0.218875388279
Astrocytes	-1.32236292447e-09	6.71700466049e-09	0.578034561722
Mural_Cells	-2.13267135572e-09	7.15771735602e-09	0.617130908446
Microglia	-3.01912894619e-09	7.99475823195e-09	0.6471504404
D1_MSN_Olfactory_Tubercle	-4.57634449125e-09	9.87350577418e-09	0.678496069533
Endothelial_Cells	-3.46013172715e-09	7.01768692486e-09	0.689014451009
Interneurons	-5.26470462578e-09	9.56013014809e-09	0.709078210353
Oligodendrocyte_Precursors	-4.66858878525e-09	8.09808151395e-09	0.717863233868
Ependymal_Cells	-9.64951121474e-09	6.96259489415e-09	0.91711239699
D1_MSNs_common	-1.47782499596e-08	8.43251231682e-09	0.960158837068
D2_MSNs	-1.38680094791e-08	7.86880008218e-09	0.96099951919
Oligodendrocytes	-1.58103381574e-08	7.41134964652e-09	0.983548311543
