Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mural_Cells	9.74424297879e-09	2.16786716767e-09	3.48091073117e-06
Microglia	9.88349691583e-09	2.52881113262e-09	4.64629448072e-05
Endothelial_Cells	7.22229022307e-09	2.30433678748e-09	0.000861568550055
Ependymal_Cells	6.70734498456e-09	2.16433715113e-09	0.000970777972489
D1_MSN_NUDAP	8.06515181791e-09	3.03917296028e-09	0.00398034629568
Oligodendrocytes	5.42702569378e-09	2.24911089309e-09	0.00791167114795
Astrocytes	3.7685475599e-09	1.99887440899e-09	0.0296923227486
Interneurons	5.85331569939e-09	4.0799261537e-09	0.0756916949503
D1_MSNs_common	3.12010297527e-09	2.17933870558e-09	0.0761185431824
D2_MSNs	2.40203137023e-09	1.96214660339e-09	0.110441133781
Oligodendrocyte_Precursors	2.95637129219e-09	2.67767406468e-09	0.134778820343
D1_MSN_Olfactory_Tubercle	3.07521373433e-09	3.18615703827e-09	0.167227434699
