Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Microglia	-1.75493878968e-09	6.10169064524e-09	0.613179334158
Interneurons	-3.48229626725e-09	8.11271643059e-09	0.666125436856
Mural_Cells	-4.37201371407e-09	6.92512245681e-09	0.736086486851
Ependymal_Cells	-3.83391616978e-09	5.93249491528e-09	0.740943523974
Endothelial_Cells	-5.89684918953e-09	6.25298419123e-09	0.827171208802
Astrocytes	-7.90782838994e-09	6.45252876293e-09	0.889813977431
Oligodendrocyte_Precursors	-1.21073685505e-08	7.09896360896e-09	0.955950524095
D1_MSN_Olfactory_Tubercle	-1.79185982567e-08	8.66978813122e-09	0.980622846661
D2_MSNs	-1.33686735472e-08	6.2509313235e-09	0.983768760792
D1_MSNs_common	-1.42732494849e-08	5.99180100505e-09	0.991393592295
Oligodendrocytes	-1.65075395038e-08	6.20484719053e-09	0.996097911348
D1_MSN_NUDAP	-1.96664347231e-08	6.93661981994e-09	0.99770987093
