Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Oligodendrocytes	4.20352901842e-09	3.76719928731e-09	0.132248873303
D1_MSN_NUDAP	3.80511530017e-09	5.03832157391e-09	0.225054084756
Interneurons	3.71139809523e-09	6.20976153642e-09	0.275029540394
D2_MSNs	8.68677843584e-10	4.44262578639e-09	0.42248803837
D1_MSNs_common	6.27080943603e-10	4.37978753326e-09	0.443075548261
Astrocytes	3.3719384501e-10	3.59341279783e-09	0.462619455941
D1_MSN_Olfactory_Tubercle	3.48067551611e-10	5.20062248386e-09	0.473319488919
Endothelial_Cells	2.50069013807e-10	3.84148418681e-09	0.47404839304
Ependymal_Cells	-1.84306412724e-10	3.54273886225e-09	0.520745098703
Oligodendrocyte_Precursors	-4.02595790991e-10	4.89327412098e-09	0.53278611804
Mural_Cells	-3.44240354733e-10	3.70359278939e-09	0.537027436456
Microglia	-1.23895458147e-09	3.86844448059e-09	0.625618939351
