Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Ependymal_Cells	2.32499418813e-08	5.98119148274e-09	5.07086844096e-05
Endothelial_Cells	2.37889772227e-08	6.45919131891e-09	0.000115268294256
Mural_Cells	2.0730265877e-08	6.39125423111e-09	0.000590278580941
Microglia	2.32510981994e-08	8.23814670102e-09	0.0023835071285
Astrocytes	1.52787398255e-08	6.32916037843e-09	0.00788872942041
D1_MSN_NUDAP	2.2588778814e-08	1.0826965501e-08	0.0184737188678
Oligodendrocytes	1.15052943291e-08	6.70541420609e-09	0.0430973525214
D1_MSN_Olfactory_Tubercle	1.31440023053e-08	8.16144151354e-09	0.0536443627367
D1_MSNs_common	9.27010998423e-09	7.10095016578e-09	0.0958656475614
D2_MSNs	7.2110076429e-09	6.9762325135e-09	0.15064907304
Interneurons	6.40159397198e-09	1.40159944286e-08	0.323930797238
Oligodendrocyte_Precursors	1.34260678903e-09	7.35573721473e-09	0.427585322813
