Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Microglia	2.9366601848e-09	8.3837592467e-10	0.000230200601424
Oligodendrocytes	2.46862674674e-09	8.31204530401e-10	0.00148929447061
Interneurons	3.97643512832e-09	1.47995218581e-09	0.00360628006859
Endothelial_Cells	2.17230127573e-09	8.63660980761e-10	0.00594783007943
Ependymal_Cells	2.11857980606e-09	8.65420539736e-10	0.00718188428522
D1_MSN_NUDAP	2.41929512985e-09	1.2363850946e-09	0.0251885008924
Mural_Cells	1.5878002953e-09	8.2162651269e-10	0.0266483812912
D1_MSNs_common	1.65851219331e-09	9.36237204703e-10	0.0382416370998
D2_MSNs	1.4118316759e-09	9.0923448371e-10	0.0602390925474
Astrocytes	9.70381017152e-10	8.44586535281e-10	0.125289930672
Oligodendrocyte_Precursors	-2.70876688581e-10	9.27311037106e-10	0.614898682378
D1_MSN_Olfactory_Tubercle	-4.4959922281e-10	1.3572183247e-09	0.629777918867
