Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_NUDAP	5.22010351007e-09	1.44698060195e-09	0.000154530977055
Microglia	4.81705003614e-09	1.43582598113e-09	0.000396970941342
Mural_Cells	4.38436043228e-09	1.33322020434e-09	0.000503525644068
Endothelial_Cells	4.43944095783e-09	1.39280879588e-09	0.000717786524813
D2_MSNs	3.33512457556e-09	1.0621010803e-09	0.000844393943796
Astrocytes	3.50874818444e-09	1.18032996266e-09	0.00147604026628
Oligodendrocytes	3.09512867868e-09	1.09242520948e-09	0.00230376804717
D1_MSNs_common	3.1156860711e-09	1.10687702149e-09	0.00244004633474
Ependymal_Cells	2.99039909983e-09	1.26209772032e-09	0.00890877710786
Oligodendrocyte_Precursors	2.78403261538e-09	1.21036895539e-09	0.0107198040842
Interneurons	5.61823339818e-09	2.96330077201e-09	0.028984147146
D1_MSN_Olfactory_Tubercle	2.20019292192e-09	1.45957967406e-09	0.0658521030829
