Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Endothelial_Cells	5.99697999144e-08	3.06629421345e-08	0.0252458628155
Astrocytes	3.57656146999e-08	2.5746409947e-08	0.0823936341564
Microglia	4.4958570892e-08	3.26243385086e-08	0.08409108106
D1_MSN_NUDAP	4.87011649627e-08	3.72705398562e-08	0.0956584464201
Ependymal_Cells	3.21301885589e-08	2.49923981532e-08	0.0992916173713
D1_MSNs_common	3.25830931537e-08	3.54245166255e-08	0.178841424666
D2_MSNs	2.19784367769e-08	3.45453662005e-08	0.262316671527
Oligodendrocyte_Precursors	2.37859289365e-08	3.81909476193e-08	0.26670275837
Mural_Cells	1.35174676142e-08	2.96973030457e-08	0.324491700143
Interneurons	1.65858905349e-08	4.4231358685e-08	0.353837538842
D1_MSN_Olfactory_Tubercle	4.21804981536e-09	4.34064087688e-08	0.461293417471
Oligodendrocytes	-1.39782691281e-08	3.23744243072e-08	0.66704530246
