Name	Coefficient	Coefficient_std_error	Coefficient_P_value
D1_MSN_NUDAP	3.80047719085e-09	1.3733329388e-09	0.0028258014988
Astrocytes	2.47479208886e-09	8.99139701151e-10	0.00295801081575
D2_MSNs	2.80027013709e-09	1.19859687585e-09	0.00973806091688
D1_MSNs_common	2.56451946554e-09	1.10087913866e-09	0.00991577951708
Ependymal_Cells	1.73006095464e-09	9.10406454979e-10	0.0286957592871
Oligodendrocytes	1.73798862572e-09	1.01510189696e-09	0.043436155933
Mural_Cells	1.41277546395e-09	9.94777390589e-10	0.0777758123387
Oligodendrocyte_Precursors	1.69577113875e-09	1.25193345822e-09	0.087784984474
Endothelial_Cells	1.39928265495e-09	1.03814335049e-09	0.0888500408663
Microglia	7.92297302027e-10	1.06454774719e-09	0.228360451221
D1_MSN_Olfactory_Tubercle	8.18520785262e-10	1.90821248351e-09	0.33398113315
Interneurons	3.68793574583e-10	1.40998437793e-09	0.396830873245
