Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mural_Cells	4.90734991715e-09	1.18485954264e-09	1.72359657826e-05
Endothelial_Cells	4.04980310009e-09	1.26452800728e-09	0.000680916972499
Ependymal_Cells	3.38141932874e-09	1.0889420433e-09	0.000950644286364
Microglia	3.92976026989e-09	1.31631955228e-09	0.00141596868393
D1_MSN_NUDAP	3.76023942152e-09	1.60334166771e-09	0.00950712489909
Astrocytes	2.29478757046e-09	1.0833661768e-09	0.0170790144491
D1_MSNs_common	2.44926120243e-09	1.27157612339e-09	0.0270420944633
Oligodendrocytes	2.23094438783e-09	1.20614644476e-09	0.032182267758
D2_MSNs	1.53757258331e-09	1.23926067657e-09	0.107355037531
Oligodendrocyte_Precursors	1.812206613e-09	1.47888831324e-09	0.110215217965
Interneurons	1.84853401859e-09	1.62934234629e-09	0.128286631411
D1_MSN_Olfactory_Tubercle	2.08459892417e-09	1.99008808824e-09	0.147436641136
