Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mo2015_PVpos_Ctx	-1.52850253238e-07	8.24174249279e-08	0.968172359623
Pfenning_SSTpos_Ctx	-1.74735970343e-07	9.00520626826e-08	0.973833742316
Mo2015_EXCpos_Ctx	-2.15594600834e-07	8.65397521597e-08	0.993635780004
Pfenning_bulk_Ctx	-2.52044626947e-07	8.91091541003e-08	0.997661614491
Pfenning_D2pos_Cpu	-2.50019857366e-07	8.29680681482e-08	0.998708508273
Pfenning_D1pos_Nac	-2.77476695791e-07	8.64691126638e-08	0.999333940564
Pfenning_bulk_Cpu	-2.81095551603e-07	8.26661552739e-08	0.999663526922
Pfenning_D2pos_Nac	-3.0870444208e-07	8.96967816196e-08	0.9997109053
Mo2015_VIPpos_Ctx	-2.74332046015e-07	7.71008577585e-08	0.999813221688
Pfenning_PVpos_Cpu	-3.19903454507e-07	8.95082010619e-08	0.99982422412
Pfenning_D1pos_Cpu	-2.89227357368e-07	8.07269328427e-08	0.999830025714
Pfenning_PVpos_Ctx	-2.93325479647e-07	7.37459401776e-08	0.999965180179
Pfenning_SSTpos_Cpu	-3.07585722923e-07	7.35315349254e-08	0.999985618481
