Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Pfenning_PVpos_Ctx	1.33046138193e-07	4.48777641015e-08	0.00151521693716
Pfenning_D1pos_Nac	1.51741352751e-07	6.1796297109e-08	0.00703426496926
Mo2015_PVpos_Ctx	1.19817996556e-07	5.46519579613e-08	0.0141759493669
Pfenning_D2pos_Cpu	1.08362720974e-07	5.19593745541e-08	0.0185107079394
Pfenning_D2pos_Nac	1.14184985314e-07	5.80727213328e-08	0.0246353697154
Mo2015_VIPpos_Ctx	1.08820843051e-07	5.56247359189e-08	0.0252126134467
Pfenning_PVpos_Cpu	1.11777243766e-07	6.30681027935e-08	0.0381702217331
Pfenning_SSTpos_Ctx	8.47957128783e-08	5.19918955065e-08	0.0514513870884
Pfenning_bulk_Cpu	7.60177344844e-08	6.05052212828e-08	0.104488561944
Pfenning_D1pos_Cpu	4.9769333445e-08	5.73310421292e-08	0.19266857449
Pfenning_SSTpos_Cpu	4.23879782415e-08	5.89850554676e-08	0.23618682422
Pfenning_bulk_Ctx	3.01755195934e-08	5.56688859899e-08	0.293890793832
Mo2015_EXCpos_Ctx	1.67828920083e-08	4.91710811596e-08	0.366432735154
