Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Pfenning_bulk_Cpu	6.26382201933e-08	1.91148199939e-08	0.000524683420285
Pfenning_D1pos_Cpu	6.55625070649e-08	2.032358513e-08	0.000627815555455
Pfenning_D2pos_Cpu	5.92996699866e-08	2.00719171208e-08	0.00156659114928
Pfenning_D2pos_Nac	6.25952017953e-08	2.20045953552e-08	0.00222306636284
Pfenning_D1pos_Nac	5.05610040891e-08	1.91685820368e-08	0.0041734967998
Mo2015_VIPpos_Ctx	2.81297687572e-08	1.73489497673e-08	0.0524648186442
Pfenning_PVpos_Ctx	1.93939242393e-08	1.44050749239e-08	0.0890987319693
Mo2015_EXCpos_Ctx	2.09973025573e-08	1.60774155816e-08	0.0957741867959
Pfenning_SSTpos_Cpu	1.95530438971e-08	1.61726936187e-08	0.113328366476
Pfenning_bulk_Ctx	1.95734583368e-08	1.7796291454e-08	0.135696204872
Pfenning_PVpos_Cpu	2.05092015677e-08	2.14233760491e-08	0.169200818466
Mo2015_PVpos_Ctx	6.79376679454e-09	1.71714128542e-08	0.346183829389
Pfenning_SSTpos_Ctx	-5.58184387955e-10	1.64297480007e-08	0.513551061278
