Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Pfenning_PVpos_Ctx	6.23816897823e-07	4.96564402733e-07	0.104509800848
Pfenning_D2pos_Nac	6.92031841471e-07	6.31472649246e-07	0.136560935071
Pfenning_D2pos_Cpu	5.19955437037e-07	4.95670400653e-07	0.147090365311
Pfenning_SSTpos_Cpu	5.2539737469e-07	5.04586354966e-07	0.148881224107
Pfenning_PVpos_Cpu	5.53413515558e-07	5.82637870342e-07	0.171096447053
Mo2015_EXCpos_Ctx	3.77971533626e-07	4.68237693362e-07	0.209769440225
Pfenning_D1pos_Nac	4.35741710476e-07	5.98418782225e-07	0.233259312466
Pfenning_bulk_Ctx	2.71268950346e-07	4.94121003517e-07	0.29150514194
Pfenning_SSTpos_Ctx	2.51141484016e-07	4.88196772673e-07	0.303476826975
Pfenning_bulk_Cpu	1.90308288699e-07	5.55436222983e-07	0.365938973354
Mo2015_PVpos_Ctx	1.74608997267e-07	5.28653049518e-07	0.370590294382
Mo2015_VIPpos_Ctx	2.43208248833e-08	5.08227268266e-07	0.480916208137
Pfenning_D1pos_Cpu	-6.70625448971e-09	5.13191824955e-07	0.50521312341
