Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Pfenning_D1pos_Nac	8.68685627829e-08	5.25712671933e-08	0.0492269035959
Pfenning_SSTpos_Ctx	6.96780146631e-08	4.56790755359e-08	0.0635819908945
Pfenning_SSTpos_Cpu	6.3191462785e-08	4.27692303544e-08	0.0697710642026
Pfenning_bulk_Cpu	6.97211206985e-08	5.15282650573e-08	0.0880173438317
Pfenning_PVpos_Ctx	5.22673952438e-08	3.9831289926e-08	0.0947230425697
Pfenning_bulk_Ctx	5.28367132239e-08	4.68895416318e-08	0.129906410725
Pfenning_D2pos_Cpu	4.31573972163e-08	4.76454600436e-08	0.182520085472
Pfenning_D1pos_Cpu	3.46706714471e-08	4.3373362781e-08	0.212042584908
Pfenning_D2pos_Nac	3.7293145513e-08	6.11939637276e-08	0.271121308904
Mo2015_EXCpos_Ctx	7.06279272835e-09	3.73250971719e-08	0.424958749387
Pfenning_PVpos_Cpu	3.46210484442e-09	4.54349923989e-08	0.469630355349
Mo2015_PVpos_Ctx	1.1901845327e-09	3.47804068123e-08	0.486350870424
Mo2015_VIPpos_Ctx	-2.23537159556e-08	4.39026857893e-08	0.694681752607
