Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Pfenning_D2pos_Cpu	3.26276469952e-08	9.16141173132e-09	0.000184426327874
Pfenning_D2pos_Nac	3.32630427194e-08	1.02546432217e-08	0.000589928312407
Pfenning_bulk_Cpu	2.66049447247e-08	1.00564002069e-08	0.0040776297927
Mo2015_PVpos_Ctx	2.41743537205e-08	9.42017220434e-09	0.0051404919064
Pfenning_D1pos_Nac	2.71163559679e-08	1.05972867933e-08	0.005251681084
Pfenning_D1pos_Cpu	2.02054834188e-08	9.13033627649e-09	0.0134486369244
Pfenning_PVpos_Cpu	1.69581278542e-08	1.06625491476e-08	0.0558680075943
Pfenning_PVpos_Ctx	1.41665858122e-08	9.22918705194e-09	0.0623947926659
Pfenning_SSTpos_Cpu	9.87595861884e-09	9.24449415752e-09	0.142691006484
Mo2015_VIPpos_Ctx	7.34515305883e-09	9.22921442631e-09	0.213057006715
Pfenning_SSTpos_Ctx	3.35120710535e-11	1.03474773388e-08	0.498707959608
Pfenning_bulk_Ctx	-1.47004670203e-09	9.53615458072e-09	0.561256271378
Mo2015_EXCpos_Ctx	-2.21014801302e-09	8.66291368682e-09	0.600687709917
