Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mo2015_VIPpos_Ctx	-4.75491011304e-08	9.18963206475e-08	0.697568905312
Pfenning_PVpos_Cpu	-2.11847138703e-07	1.02321029582e-07	0.980793316771
Pfenning_D1pos_Nac	-2.1328158613e-07	1.02007347359e-07	0.981729034551
Pfenning_SSTpos_Ctx	-2.01899008816e-07	9.2934772182e-08	0.98509029209
Mo2015_EXCpos_Ctx	-1.78604967952e-07	8.02152806337e-08	0.987011999832
Pfenning_SSTpos_Cpu	-2.06807112137e-07	9.27921786997e-08	0.987083488444
Pfenning_bulk_Ctx	-1.93618663552e-07	8.64318716851e-08	0.987458770863
Pfenning_PVpos_Ctx	-2.03951855116e-07	8.97670184357e-08	0.98845714491
Mo2015_PVpos_Ctx	-2.15343843881e-07	9.32577293446e-08	0.989531703727
Pfenning_D2pos_Cpu	-2.22919468608e-07	9.240297009e-08	0.992077597049
Pfenning_D1pos_Cpu	-2.26359750392e-07	9.30896743339e-08	0.992484496917
Pfenning_bulk_Cpu	-2.58201693178e-07	9.97956921581e-08	0.995163475415
Pfenning_D2pos_Nac	-3.02425254497e-07	1.03663690687e-07	0.998235011453
