Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Pfenning_D2pos_Cpu	6.66590046345e-08	1.89649409697e-08	0.000219997644276
Pfenning_D2pos_Nac	5.49531129342e-08	2.30155812251e-08	0.00847828045247
Pfenning_D1pos_Cpu	3.99147389575e-08	1.93323595347e-08	0.019477616577
Mo2015_PVpos_Ctx	3.66991889528e-08	1.78534564701e-08	0.0199115602089
Pfenning_bulk_Cpu	3.50442437931e-08	2.05306918076e-08	0.043918482574
Pfenning_PVpos_Cpu	3.50777788331e-08	2.11687038538e-08	0.0487538328799
Mo2015_EXCpos_Ctx	2.56768997957e-08	1.7590653634e-08	0.0721876567322
Pfenning_D1pos_Nac	3.02862335696e-08	2.09027813797e-08	0.0736814619437
Pfenning_PVpos_Ctx	2.47711808834e-08	1.75293412323e-08	0.0788092306333
Pfenning_bulk_Ctx	1.78683225815e-08	1.88592204326e-08	0.171702679472
Mo2015_VIPpos_Ctx	1.68394759856e-08	1.93923517275e-08	0.192599581808
Pfenning_SSTpos_Cpu	1.44683896928e-08	1.8140968057e-08	0.212564868266
Pfenning_SSTpos_Ctx	-1.17531694774e-08	1.83495964039e-08	0.739080685518
