Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_NeuN+_D2	8.78932827951e-08	6.12724032392e-08	0.0757194213571
OFC_NeuN+_Exc	7.86695644021e-08	5.92695592232e-08	0.0922017236561
PUT_NeuN+_D1	6.46198223339e-08	5.2359947467e-08	0.108574243307
VLPFC_NeuN+_Exc	5.15760239916e-08	5.65455116765e-08	0.180854023449
VLPFC_NeuN+_VIP	3.28396371413e-08	3.96565136548e-08	0.203806376544
NAC_NeuN+_D1	4.73748513534e-08	6.7881495145e-08	0.242618227702
ACC_NeuN+_Exc	4.25732416011e-08	6.38029107073e-08	0.252302478341
VLPFC_NeuN+_PV	2.14560504986e-08	4.0562709495e-08	0.298416601843
PUT_NeuN+_D2	2.33091788698e-08	4.86943335544e-08	0.316081867412
ACC_NeuN+_PV	1.73999205786e-08	4.4291969808e-08	0.34721663526
ACC_NeuN+_VIP	1.56030318195e-08	4.56302795826e-08	0.366196258291
STC_NeuN+_PV	4.28143112797e-09	4.37568246258e-08	0.461027282088
OFC_NeuN+_PV	3.75220624262e-09	4.11849485726e-08	0.463704083049
STC_NeuN+_Exc	5.12045000902e-09	6.56348434749e-08	0.468908377495
OFC_NeuN+_VIP	-7.41440979784e-11	4.30477775981e-08	0.500687124924
DLPFC_NeuN+_PV	-1.03431594545e-09	4.38490994104e-08	0.50940940877
DLPFC_NeuN+_Exc	-5.52806817785e-09	5.35690003872e-08	0.541096008396
DLPFC_NeuN+_VIP	-6.50414750696e-09	4.19372595167e-08	0.56162573762
STC_NeuN+_VIP	-4.9014719182e-08	4.40111522406e-08	0.867293602398
