Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NAC_NeuN+_D2	2.81390150749e-06	2.44288471037e-06	0.124685911655
STC_NeuN+_Exc	2.25261036229e-06	2.6098688285e-06	0.194037812902
PUT_NeuN+_D1	1.01267902651e-06	1.84520693617e-06	0.291565876241
NAC_NeuN+_D1	6.18076105439e-07	2.42670787771e-06	0.39947842525
OFC_NeuN+_PV	3.55306674294e-07	1.5952894229e-06	0.411875786848
ACC_NeuN+_Exc	5.33649318947e-07	2.95638519471e-06	0.428377134139
VLPFC_NeuN+_Exc	-4.80531306268e-09	2.15745449621e-06	0.500888566118
PUT_NeuN+_D2	-4.87902686367e-08	1.64696397711e-06	0.511816684917
VLPFC_NeuN+_PV	-6.94179614118e-08	1.58377708403e-06	0.517480297868
DLPFC_NeuN+_PV	-2.28718165542e-07	1.63517580795e-06	0.555620127483
VLPFC_NeuN+_VIP	-4.19406831275e-07	1.70392366725e-06	0.597213765103
ACC_NeuN+_PV	-5.66054585196e-07	1.6814504914e-06	0.631808337286
OFC_NeuN+_VIP	-6.30770250387e-07	1.5929870942e-06	0.653935297244
DLPFC_NeuN+_VIP	-6.52858255878e-07	1.63464320583e-06	0.655196642603
OFC_NeuN+_Exc	-1.00237164938e-06	2.12680814924e-06	0.681287911924
STC_NeuN+_PV	-1.0210946826e-06	1.578197069e-06	0.741184270001
ACC_NeuN+_VIP	-1.40406477234e-06	1.84649121808e-06	0.776491081424
DLPFC_NeuN+_Exc	-1.88242382635e-06	2.26294602701e-06	0.797252215173
STC_NeuN+_VIP	-1.54659109278e-06	1.6237503376e-06	0.829573411912
