Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DLPFC_NeuN+_VIP	7.48795825313e-08	3.6739442508e-08	0.0207687082525
STC_NeuN+_Exc	7.88596863843e-08	4.51435102244e-08	0.0403302476954
VLPFC_NeuN+_VIP	6.03663678593e-08	3.60534068549e-08	0.0470299738908
DLPFC_NeuN+_Exc	5.15158577084e-08	3.21554989853e-08	0.0545683552852
NAC_NeuN+_D2	6.09223984899e-08	4.28543111493e-08	0.0775687970408
OFC_NeuN+_VIP	4.31360404375e-08	3.36040450148e-08	0.0996311396216
STC_NeuN+_VIP	3.89345837661e-08	3.36899249544e-08	0.123907181857
ACC_NeuN+_VIP	3.87410839525e-08	3.51993109446e-08	0.135530925218
PUT_NeuN+_D1	4.20220701233e-08	3.97237967034e-08	0.145060471656
OFC_NeuN+_Exc	3.3967849542e-08	3.41807814085e-08	0.160167324721
PUT_NeuN+_D2	3.48488981578e-08	3.99111787509e-08	0.191287572912
ACC_NeuN+_Exc	2.43509864451e-08	3.83773285453e-08	0.262872425878
OFC_NeuN+_PV	1.17465963278e-08	2.81962520219e-08	0.338485015141
VLPFC_NeuN+_Exc	6.7041704976e-09	3.08291982269e-08	0.413924267775
NAC_NeuN+_D1	6.88537430868e-09	4.95469470943e-08	0.444738242969
VLPFC_NeuN+_PV	-1.59329908352e-08	3.14493563474e-08	0.693790579457
DLPFC_NeuN+_PV	-1.58859422499e-08	2.97744201124e-08	0.703171225804
ACC_NeuN+_PV	-3.29638376621e-08	3.14229281191e-08	0.852919626682
STC_NeuN+_PV	-4.03022253016e-08	2.91737550553e-08	0.916430423897
