Name	Coefficient	Coefficient_std_error	Coefficient_P_value
PUT_NeuN+_D1	2.03265327902e-07	3.75313763125e-07	0.294051274205
OFC_NeuN+_PV	1.20725549583e-07	2.99418151528e-07	0.3434003645
NAC_NeuN+_D1	1.77122347161e-07	4.72898880416e-07	0.353999098929
ACC_NeuN+_Exc	1.6726154826e-07	4.48810354693e-07	0.354694219563
STC_NeuN+_Exc	6.37498093261e-08	3.88357320158e-07	0.434805562524
OFC_NeuN+_Exc	3.43465729071e-08	3.50833583954e-07	0.46100588956
PUT_NeuN+_D2	3.10768685463e-08	3.45173261944e-07	0.464130628785
VLPFC_NeuN+_PV	2.66458955911e-08	3.02816867694e-07	0.464940948022
DLPFC_NeuN+_PV	-3.28444739569e-08	2.93428029771e-07	0.544561997122
ACC_NeuN+_PV	-4.25377147305e-08	3.19168336741e-07	0.553012737996
STC_NeuN+_PV	-1.45984076875e-07	3.01394298093e-07	0.68593566428
VLPFC_NeuN+_Exc	-1.7634196743e-07	3.24537787669e-07	0.706560202306
ACC_NeuN+_VIP	-2.15025346002e-07	3.39615710096e-07	0.736679902924
NAC_NeuN+_D2	-2.86457750283e-07	3.87332892135e-07	0.770217928835
VLPFC_NeuN+_VIP	-2.09366699024e-07	2.75614078181e-07	0.776264253456
DLPFC_NeuN+_VIP	-2.49687300543e-07	3.19387782595e-07	0.782824675169
OFC_NeuN+_VIP	-2.66827032417e-07	3.25249988644e-07	0.793998882553
STC_NeuN+_VIP	-3.27429755148e-07	3.25651842916e-07	0.842662190971
DLPFC_NeuN+_Exc	-5.42799434878e-07	3.22156256934e-07	0.953995574807
